artist,albums,tracks,bytes,in_active,active_tracks
Paul Cauthen,25,71,221298911,no,0
The Dillinger Escape Plan,6,71,400819715,no,0
Abysmal Dawn,13,70,569405792,no,0
Amyl and The Sniffers,12,70,166390126,no,0
Billie Eilish,19,70,315648089,no,0
Childish Gambino,6,70,504236476,no,0
Grails,8,70,576152235,no,0
The Farm,4,70,681764232,no,0
Tropical Fuck Storm,21,70,395889813,no,0
Young Widows,6,70,274749495,no,0
Yungblud,11,70,259670443,no,0
Gojira,6,69,359351028,no,0
MF DOOM,5,69,360310431,no,0
Rings of Saturn,9,69,501911274,no,0
cupcakKe,7,69,427293379,no,0
Chrome,9,68,311512617,no,0
Die Antwoord,5,68,468374594,yes,75
Haggus,9,68,115974660,no,0
Richie Kavanagh,6,68,198667769,no,0
The Halluci Nation,18,68,226411320,no,0
Faith and the Muse,5,67,509818997,no,0
Mitski,7,67,175760673,no,0
Escuela Grind,16,66,130027249,no,0
Kneecap,23,66,185787921,no,0
Marshmello,6,66,321554363,no,0
Seven Spires,17,66,296027323,no,0
Ashnikko,15,65,188639946,yes,37
Conquer Divide,16,65,241726563,no,0
Crazy & the Brains,29,65,183751367,no,0
Des’ree,6,65,575711080,no,0
Justice,6,65,524628423,no,0
Michael Nyman,4,65,498946025,no,0
Wesley Willis,4,65,320193267,no,0
Flipper,15,64,242423554,no,0
The Glitch Mob,5,64,402980829,no,0
_wumpscut_,6,64,495729547,no,0
Dido,5,63,537168779,no,0
FOG,4,63,204352288,no,0
Teargas,11,63,229909608,no,0
Yakui the Maid,6,63,224081734,no,0
Altın Gün,6,62,417603770,no,0
CKY,7,62,324499546,yes,62
Crystal Lake,16,62,288050088,no,0
Datsik,8,62,454904127,no,0
"Filth, Smell",44,62,358590507,no,0
King Krule,4,62,404689794,no,0
Mephistofeles,10,62,309167800,no,0
New Order,14,62,314456522,no,0
Run the Jewels,4,62,402042953,yes,63
Vampire Weekend,6,62,169203385,no,0
Waveshaper,7,62,237988800,no,0
Fox Lake,22,61,185122872,no,0
Logic System,6,61,515201089,no,0
Blind Guardian Twilight Orchestra,2,60,300788851,yes,58
Strapping Young Lad,6,60,388183782,no,0
ohGr,5,60,325039586,no,0
Drug Church,7,59,120724330,no,0
"Lady Gaga, Bradley Cooper",8,59,141941054,no,0
Party Cannon,15,59,307391539,no,0
Pixies,6,59,169810685,no,0
Spiritbox,21,59,245974466,no,0
The Police,10,59,172484455,no,0
unholy,42,59,187951015,no,0
Animals as Leaders,6,58,397122615,no,0
Gracie Abrams,5,58,245742496,no,0
PNAU,5,58,450349694,no,0
Tove Lo,5,58,184990359,no,0
DREGG,23,57,153489181,no,0
Howard Shore,4,57,224554997,no,0
Little Feat,5,57,250050182,no,0
Rihanna,24,57,212713712,no,0
Adele,7,56,247351201,no,0
Massive Attack,6,56,417805904,no,0
S Y Z Y G Y X,12,56,375309144,yes,16
Sanguisugabogg,15,56,226025748,no,0
Starjunk 95,31,56,434099111,no,0
Viagra Boys,4,56,333776191,no,0
iwrestledabearonce,4,56,338811018,no,0
Alien Ant Farm,11,55,197775837,no,0
Boards of Canada,5,55,261823936,yes,53
Crystal Castles,5,55,364332202,no,0
Diplo,4,55,445798078,no,0
Kraftwerk,9,55,389410332,no,0
Mac Miller,5,55,219919685,no,0
Amyl and the Sniffers,11,54,129780592,no,0
Melanie Martinez,6,54,183845816,no,0
The Accused,3,54,93917938,no,0
The Dead South,5,54,304584014,no,0
BLP KOSHER,4,53,306855372,no,0
El‐P,4,53,232040712,no,0
Fantastic Plastic Machine,4,53,250592026,no,0
Cop Shoot Cop,4,52,305310987,no,0
Durry,22,52,162696716,no,0
"Filth, Pleasure",24,52,308692290,no,0
Flo Rida,5,52,317294292,no,0
Fraser Edwards,18,52,207576292,no,0
Goblin Cock,5,52,171751589,no,0
Job for a Cowboy,6,52,212734551,no,0
KAYTRANADA,3,52,321555521,no,0
Pink Fairies,6,52,550854268,no,0
Skinless,6,52,263483563,no,0
Suede,3,52,242093173,no,0
Code_ Pandorum,8,51,224544269,no,0
Dead Pony,16,51,151628404,no,0
Dethklok,4,51,385957203,no,0
Dicks,3,51,128818299,no,0
FreeTEMPO,7,51,258170364,no,0
Green Jellÿ,4,51,259141138,no,0
Lou Reed,6,51,255732752,no,0
Luke Slott,10,51,364099502,no,0
The Alan Parsons Project,3,51,184122981,no,0
Violent Onsen Geisha,6,51,252652365,no,0
Flagman,18,50,220287900,no,0
Pleasantries,8,50,170001051,no,0
Richard Cheese & Lounge Against The Machine,4,50,233768083,no,0
The Subhumans,3,50,255293782,no,0
Adam X,6,49,631704542,no,0
Bongripper,10,49,707708739,yes,44
Dance With the Dead,6,49,218098456,yes,2
KNEECAP,13,49,155794701,no,0
Mechina,13,49,341235476,no,0
Razed in Black,5,49,259716591,no,0
Slowdive,4,49,236115109,no,0
Stoned Jesus,11,49,554264877,no,0
Velvet Revolver,5,49,195964377,no,0
"War, Endel",3,49,131565321,no,0
Bob Dylan,13,48,223989323,no,0
"Dead Prez, Outlawz",3,48,156589280,no,0
Oculi Melancholiarum,9,48,241513404,no,0
Run The Jewels,6,48,163807286,yes,63
Tom Waits,5,48,168718550,no,0
letlive_,4,48,182186754,no,0
Breaking Benjamin,9,47,165334719,no,0
The Byrds,6,47,129669761,no,0
Cave Dweller,14,46,203567206,no,0
Cocteau Twins,14,46,175745107,no,0
Grip Inc_,5,46,165573893,no,0
Kontrust,7,46,153195108,no,0
Michael Jackson,14,46,217024595,no,0
Neil Young,8,46,228184691,no,0
Photek,5,46,307283956,no,0
Cro‐Mags,5,45,146784037,no,0
Glenn Gould,3,45,139949006,no,0
Polyphia,4,45,309757804,no,0
SPK,6,45,180288065,no,0
Scum,14,45,142423512,no,0
Soul Coughing,3,45,179197941,no,0
African Head Charge,4,44,187015903,no,0
Garbage,7,44,169945829,no,0
Halsey,7,44,134386029,no,0
Neil Young & Crazy Horse,4,44,282906297,no,0
Revenge,5,44,164572389,no,0
SCANDAL,20,44,170553800,no,0
William Shatner,5,44,183123012,no,0
Bio-Tek,4,43,318072890,no,0
Bix Beiderbecke,2,43,122816911,no,0
Bladee,2,43,104520768,no,0
Panic! At The Disco,7,43,132290293,no,0
Solar Eruption,10,43,168849846,no,0
Dayglow,6,42,112089359,no,0
Hank Williams,3,42,109233612,no,0
Jack Stauber,3,42,81754607,no,0
Superjoint Ritual,3,42,277175430,no,0
The Posies,3,42,123001933,no,0
Unicorn Kid,10,42,146028159,no,0
Alien Weaponry,3,41,370216581,no,0
DJ Sabrina The Teenage DJ,2,41,196881165,no,0
DMX,2,41,130210839,no,0
Half Moon Run,5,41,261672069,no,0
Hobo Johnson,5,41,107694153,no,0
Infant Annihilator,3,41,307165973,no,0
Jah Lloyd,4,41,125123015,no,0
Just a Band,3,41,162169279,no,0
Karyn White,4,41,371328536,no,0
Lorna Shore,5,41,209695823,no,0
The Upsetters,4,41,150176376,no,0
Vile,4,41,276383882,no,0
上海アリス幻樂団,2,41,129206047,no,0
ArnoCorps,7,40,111992808,no,0
Bretus,5,40,436379583,no,0
Cage The Elephant,5,40,128978821,no,0
Crywank,4,40,84736440,no,0
Current 93,5,40,200516867,no,0
Oasis,8,40,161055354,no,0
Panopticon,7,40,287429068,no,0
Shaboozey,6,40,236409254,no,0
Teddy Swims,4,40,209942166,no,0
Year of the Knife,7,40,92963359,no,0
Bikini Kill,5,39,75946182,no,0
